BFT20001.1,OH 405
BFT20002.1,OH 405
BFT30001.1,NMH 307
BFT30010.1,NMH 307
BFT30010.2,NMH 307
BFT30016.1,NMH 307
BFT30020.1,NMH 310
BFT30027.1,NMH 310
BFT30055.1,NMH 410A
BFT30057.1,NMH 310
BFT30061.1,ANH 313
BFT40001.1,NMH 307
BFT40005.1,NMH 410A
BFT40005.2,NMH 410A
BFT40012.1,NMH 310
BFT40013.1,NMH 310
BFT40051.1,NMH 309
BFT40052.1,NMH 307
BFT40055.1,NMH 310
CCC20020.1,NMH 405
CCC20050.1,NMH 104A
CCC20053.1,NMH 405
CCC20056.1,NMH 405
CCC20064.1,NMH 405
CCC20065.1,NMH 405
CCC20074.1,NMH 405
CCC20076.1,NMH 405
CCC20086.1,HDH 320A
CCC20092.1,NMH 405
CCC30035.1,NMH 410B
CCC30053.1,NMH 405
CCC30057.1,NMH 405
CCC30081.1,NMH 402
CCC30083.1,NMH 406
CCC30094.1,NMH 406
CCC40044.1,NMH 410B
CCC40046.1,NMH 402
CCC40050.1,NMH 405
CCC40081.1,NMH 405
CCE20001.1,NMH 108
CCE20003.1,OH 305
CCE20005.1,OH 306
CCE20007.1,NMH 105
CCE22001.1,HDH 323C
CCE24001.1,HDH 320A
CCE30001.1,NMH 105
CCE30006.1,NMH 105
CCE32001.1,NTH 213
CSW20001.1,ANH 313
CSW20005.1,HDH 303B
CSW20005.2,NMH 105
CSW20012.1,NMH 207
CSW20012.2,NMH 207
CSW20012.3,NMH 402
CSW20015.1,OH 402
CSW20020.1,HDH 320B
CSW20021.1,HDH 318
CSW20054.1,OH 405
CSW20064.1,HDH 320B
CSW20065.1,OH 401
CSW20079.1,OH 402
CSW20085.1,HDH 403
CSW30006.1,HDH 320B
CSW30008.1,HDH 320B
CSW30009.1,NMH 207
CSW30009.2,OH 306
CSW30009.3,NMH 207
CSW30012.1,NMH 207
CSW30017.1,NMH 207
CSW30019.1,NMH 107
CSW30021.1,HDH 320B
CSW30025.1,NMH 207
CSW30026.1,NMH 207
CSW30026.2,NMH 207
CSW30035.1,HDH 320B
CSW30056.1,HDH 318
CSW30063.1,HDH 323C
CSW30081.1,HDH 326A
CSW40010.1,OH 305
CSW40010.2,HDH 320B
CSW40015.1,HDH 303A
CSW40052.1,HDH 320B
CSW40054.4,HDH 318
CUE20002.1,ANH 305
CUE20003.1,NTH 212
CUE20003.2,NTH 212
CUE20003.3,NTH 215
CUE20005.1,NTH 313
CUE20013.1,ANH 313
CUE20014.1,NTH 213
CUE20051.1,NTH 212
CUE20052.1,NTH 313
CUE30001.1,NTH 220
CUE30001.2,NTH 220
CUE30003.1,NTH 212
CUE30005.1,NTH 212
CUE30012.1,NTH 212
CUE30030.1,NTH 218
CUE30031.1,NTH 212
CUE30051.1,NTH 212
CUE30062.1,NTH 215
CUE40003.1,NTH 217
CUE40009.1,NTH 211
CUE40052.1,NTH 212
CUE40053.1,NTH 218
ECE20010.1,NTH 311
ECE20010.2,OH 401
ECE20016.1,NTH 310
ECE20016.2,NTH 310
ECE20051.1,NTH 310
ECE20051.2,NTH 310
ECE20051.3,ANH 313
ECE20057.1,OH 405
ECE20060.1,NTH 417
ECE20060.2,NTH 417
ECE30011.1,OH 401
ECE30012.1,NTH 313
ECE30021.1,NTH 313
ECE30021.2,NTH 311
ECE30030.1,ANH 313
ECE30051.1,NTH 310
ECE30056.1,NTH 417
ECE30063.1,NTH 311
ECE30075.1,NTH 413
ECE30075.2,NTH 413
ECE30081.1,ANH 305
ECE30092.1,NTH 310
ECE40012.1,NTH 311
ECE40047.1,NTH 414
ECE40061.1,NTH 310
ECE40084.1,NTH 311
ECE40093.1,NTH 412
ECE40093.2,NTH 313
ECE40093.3,NTH 213
ENG20022.1,NMH 410A
GCS10001.1,HDH 424
GCS10001.2,HDH 424
GCS10001.3,HDH 403
GCS10001.4,HDH 424
GCS10001.5,HDH 424
GCS10001.6,HDH 424
GCS10001.7,HDH 424
GCS10002.1,HDH 403
GCS10002.2,HDH 424
GCS10002.3,HDH 403
GCS10002.4,HDH 403
GCS10002.5,HDH 403
GCS10002.6,HDH 403
GCS10002.7,HDH 403
GCS10003.1,NMH 410A
GCS10004.1,NMH 410A
GCS10007.1,HDH 403
GCS10007.2,HDH 403
GCS10007.3,OH 302
GCS10007.4,OH 302
GCS10008.1,GLC 204
GCS10010.1,HDH 425B
GCS10011.1,HDH 303A
GCS10012.1,HDH 303A
GCS10014.1,NTH 213
GCS10016.2,HDH 303B
GCS10019.1,NMH 108
GCS10019.2,NMH 104A
GCS10023.1,NMH 104A
GCS10027.1,NMH 402
GCS10027.2,NMH 402
GCS10028.1,NMH 402
GCS10033.1,HDH 303B
GCS10033.2,NMH 109
GCS10033.3,NMH 109
GCS10033.4,NMH 109
GCS10034.1,NMH 109
GCS10037.1,HDH 303B
GCS10037.10,HDH 303A
GCS10037.11,HDH 303A
GCS10037.12,NMH 108
GCS10037.2,HDH 303B
GCS10037.3,HDH 303B
GCS10037.4,HDH 303B
GCS10037.5,NMH 104A
GCS10037.6,NMH 104A
GCS10037.7,NMH 104A
GCS10037.8,NMH 108
GCS10037.9,NMH 108
GCS10039.1,HDH 303B
GCS10039.2,NMH 104A
GCS10041.1,NTH 213
GCS10041.2,NTH 213
GCS10050.1,GLC 301
GCS10050.2,GLC 301
GCS10050.4,GLC 106
GCS10050.6,GLC 106
GCS10052.1,GLC 304
GCS10052.10,GLC 304
GCS10052.11,GLC 304
GCS10052.12,GLC 303
GCS10052.2,GLC 304
GCS10052.3,GLC 304
GCS10052.4,GLC 303
GCS10052.5,GLC 303
GCS10052.6,GLC 302
GCS10052.7,GLC 302
GCS10052.8,GLC 302
GCS10052.9,GLC 304
GCS10053.1,GLC 101
GCS10053.10,GLC 302
GCS10053.2,GLC 101
GCS10053.3,GLC 303
GCS10053.4,GLC 303
GCS10053.5,GLC 202
GCS10053.6,GLC 305
GCS10053.7,GLC 305
GCS10053.8,GLC 305
GCS10053.9,GLC 101
GCS10055.1,HDH 303A
GCS10056.1,HDH 303A
GCS10057.1,HDH 303A
GCS10058.1,HDH 320A
GCS10058.2,OH 420
GCS10061.1,NMH 307
GCS10061.2,NMH 410A
GCS10061.3,NMH 410A
GCS10062.1,GLC 302
GCS10062.10,GLC 106
GCS10062.11,GLC 106
GCS10062.2,GLC 302
GCS10062.3,GLC 302
GCS10062.4,GLC 303
GCS10062.5,GLC 303
GCS10062.6,GLC 303
GCS10062.7,GLC 106
GCS10062.8,GLC 106
GCS10062.9,GLC 106
GCS20001.1,GLC 304
GCS20001.10,GLC 301
GCS20001.11,GLC 301
GCS20001.12,GLC 301
GCS20001.13,GLC 301
GCS20001.14,GLC 304
GCS20001.15,GLC 304
GCS20001.16,GLC 101
GCS20001.17,GLC 101
GCS20001.2,GLC 304
GCS20001.4,GLC 305
GCS20001.5,GLC 305
GCS20001.6,GLC 305
GCS20001.7,GLC 301
GCS20001.8,GLC 301
GCS20002.1,GLC 202
GCS20002.10,GLC 305
GCS20002.11,GLC 305
GCS20002.12,GLC 305
GCS20002.13,GLC 202
GCS20002.14,GLC 202
GCS20002.15,GLC 302
GCS20002.16,GLC 302
GCS20002.2,GLC 202
GCS20002.3,GLC 202
GCS20002.4,GLC 202
GCS20002.5,GLC 303
GCS20002.6,GLC 303
GCS20002.7,GLC 101
GCS20002.8,GLC 101
GCS20002.9,GLC 202
GCS20005.1,HDH 403
GCS20005.2,HDH 403
GCS20005.3,HDH 403
GCS20006.1,OH 302
GCS20006.2,OH 302
GCS20008.1,HDH 402
GCS20008.2,HDH 402
GCS20009.1,HDH 424
GCS30008.1,NTH 412
GCS30008.2,NTH 412
GCS30009.1,GLC 101
GEA20002.1,ANH 313
GEA20004.1,NMH 410B
GEA20008.1,ANH 313
GEA20016.1,OH 306
GEA20018.1,ANH 313
GEA20022.1,NTH 311
GEA20051.1,ANH 313
GEA20053.1,NTH 310
GEA20055.1,ANH 313
GEA20057.1,NMH 107
GEA30011.1,ANH 313
GEA30012.1,ANH 313
GEA30020.1,ANH 313
GEA30021.1,NTH 113
GEA40004.1,ANH 304
GEE20034.1,OH 402
GEE30023.1,OH 402
GEK10015.2,HDH 303A
GEK10021.2,NTH 213
GEK10021.4,HDH 418B
GEK10021.7,SU 101
GEK10022.1,NMH 410A
GEK10022.2,NMH 410B
GEK10030.1,OH 405
GEK10035.1,NMH 410B
GEK10035.2,OH 306
GEK10038.1,HDH 419
GEK10038.2,HDH 419
GEK10038.3,HDH 419
GEK10040.1,NMH 410B
GEK10040.2,NMH 410B
GEK10041.1,ANH Auditorium
GEK10041.2,NMH 410A
GEK10041.3,NMH 307
GEK10041.4,OH 420
GEK10042.1,OH 405
GEK10053.1,NTH 212
GEK10053.2,HDH 425B
GEK10055.1,HDH 418B
GEK10055.2,HDH 418B
GEK10055.3,NMH 404
GEK10057.1,OH 405
GEK10057.3,NMH 403
GEK10058.1,NMH 410A
GEK10058.2,NMH 410B
GEK10059.1,NMH 410A
GEK10059.2,NMH 307
GEK10059.3,NMH 403
GEK10060.1,NMH 410A
GEK10061.1,HCA 2F
GEK10061.2,HCA 2F
GEK10062.1,NMH 105
GEK10062.2,NMH 105
GEK10066.1,NTH 313
GEK10070.1,NMH 410A
GEK10075.1,NMH 108
GEK10077.1,NTH 213
GEK10087.1,HDH 418B
GEK10088.1,NMH 404
GEK10088.2,NMH 404
GEK10089.1,NMH 402
GEK10089.2,NMH 402
GEK10090.1,HDH 418B
GEK10090.2,HDH 425B
GEK10091.1,NTH 412
GEK10093.1,HDH 425B
GEK10094.1,NMH 411
GEK10095.1,HDH 418B
GEK10095.2,HDH 318
GEK10095.3,HDH 418B
GEK10095.4,HDH 418B
GEK10096.1,HDH 418B
GEK10096.2,HDH 418B
GEK10096.3,OH 403
GEK10096.4,HDH 418B
GEK10098.1,HCA 2F
GEK10098.2,HCA 2F
GEK10099.1,NMH 105
GEK20011.1,OH 420
GEK20011.3,OH 420
GEK20016.1,NMH 404
GEK20017.1,OH 420
GEK20019.1,HDH 303B
GEK20021.2,NTH 213
GEK20028.1,SU 101
GEK20028.2,SU 101
GEK20028.3,NMH 402
GEK20028.4,OH Media
GEK20033.1,HDH 425B
GEK20042.1,OH 402
GEK20042.2,OH 402
GEK20044.1,OH 305
GEK20053.1,HDH 425B
GEK20053.2,HDH 425B
GEK20058.1,OH 403
GEK20058.10,NMH 404
GEK20058.2,OH 403
GEK20058.3,OH 403
GEK20058.4,NMH 403
GEK20058.5,NMH 403
GEK20058.6,NMH 403
GEK20058.7,OH 403
GEK20058.8,OH 403
GEK20058.9,OH 402
GEK20059.1,NMH 403
GEK20062.1,NMH 403
GEK20062.2,OH 403
GEK20062.3,NMH 403
GEK20063.1,NMH 403
GEK20063.2,NMH 404
GEK20063.3,NMH 404
GEK20063.4,NMH 404
GEK30007.1,NTH 213
GEK30014.1,OH 420
GEK30014.2,OH 420
GEK30015.2,OH 405
GEK30022.1,SU 101
GEK30030.1,OH 402
HMM10041.1,OH 305
HMM10041.2,OH 305
HMM20017.1,ANH 302
HMM20026.1,OH 405
HMM20028.1,NTH 120B
HMM20028.3,NTH 120B
HMM20031.1,ANH 302
HMM20031.2,NTH 214
HMM20041.1,NMH 105
HMM20075.1,NTH 310
HMM30006.1,NTH 118
HMM30012.1,OH 305
HMM30012.2,ANH 302
HMM30018.1,NTH 120B
HMM30032.1,ANH 302
HMM30055.1,NTH 118
HMM40029.1,NTH 214
HMM40037.1,NTH 214
HMM40039.1,NTH 214
HMM40043.1,ANH 305
HMM40047.1,NTH 214
HMM40053.1,NTH 214
IID10004.1,NMH 204
IID10004.2,NMH 204
IID10004.3,NMH 204
IID20006.1,NMH 202
IID20006.2,NMH 202
IID20006.3,NMH 202
IID20013.1,NMH 309
IID20013.2,NMH 204
IID20013.3,NMH 204
IID20016.1,NMH 208
IID20016.2,NMH 208
IID20016.3,NMH 208
IID20055.1,HDH 402
IID20055.2,HDH 402
IID20059.1,NMH 208
IID20059.2,NMH 208
IID20059.3,NMH 208
IID20061.1,NMH 204
IID20061.2,NMH 204
IID20061.3,NMH 208
IID30011.1,NMH 205B
IID30018.1,OH Media
IID30020.1,NMH 309
IID30067.1,HDH 402
IID30068.1,OH 306
IID30068.2,OH 306
IID30071.2,NMH 208
IID30080.1,NMH 205B
IID30082.1,NMH 205B
IID30086.1,NMH 202
IID30086.2,NMH 202
IID30086.3,NMH 202
IID40066.1,NMH 205B
IID40066.2,NMH 205B
IID40067.1,NMH 202
IID40067.2,NMH 202
IID40067.3,NMH 202
IID40070.1,NMH 208
IID40071.1,NMH 309
IID40071.2,NMH 204
IID40078.1,NMH 310
IID40078.2,NMH 202
ISE10002.1,HDH 318
ISE10022.1,OH 306
ISE10051.1,HDH 318
ISE10051.2,HDH 318
ISE20006.1,HDH 320A
ISE20040.1,HDH 326A
ISE20042.1,HDH 323C
ISE20043.1,HDH 323C
ISE20072.1,HDH 324
ISE20074.1,HDH 323C
ISE20075.1,HDH 318
ISE20081.1,NMH 309
ISE20084.1,HDH 318
ISE20085.1,HDH 318
ISE20086.1,HDH 326A
ISE30015.1,HDH 324
ISE30032.1,HDH 324
ISE30052.1,HDH 323C
ISE30071.1,HDH 326A
ISE30080.1,HDH 323C
ISE30081.1,HDH 320A
ISE30093.1,NMH 309
ISE30095.1,HDH 323C
ISE30096.1,HDH 324
ISE30097.1,HDH 323C
ISE40013.1,HDH 320A
ISE40073.1,HDH 326A
ISE40073.2,HDH 326A
ISE40075.1,HDH 324
ISE40085.4,HDH 326A
ITP20001.1,NTH 313
ITP20001.2,NTH 313
ITP20003.1,OH 401
ITP20003.2,OH 401
ITP20007.1,NTH 311
ITP20007.2,NTH 313
ITP30002.1,OH 401
ITP30005.1,OH 401
ITP30008.1,OH 401
ITP40001.1,NTH 313
ITP40003.1,NTH 311
LAW10004.1,ANH 302
LAW20003.1,ANH 302
LAW20008.1,ANH 302
LAW20009.1,OH 305
LAW30009.1,ANH 304
LAW30014.1,ANH 304
LAW30034.1,ANH 305
LAW30071.1,ANH 305
LAW30072.1,ANH 305
LAW30074.1,ANH 302
LAW30077.1,ANH 304
LAW50005.1,ANH 304
MEC10001.1,OH 405
MEC10001.2,NMH 106
MEC10001.3,NMH 107
MEC10002.1,NMH 103A
MEC10002.2,NMH 105
MEC10002.3,NMH 106
MEC10002.4,NMH 106
MEC20001.1,NMH 103A
MEC20001.2,NMH 103A
MEC20002.1,NMH 309
MEC20002.2,NMH 103A
MEC20005.1,NMH 107
MEC20005.2,NMH 107
MEC20006.1,NMH 107
MEC20051.1,NMH 103A
MEC20051.2,NMH 103A
MEC20054.1,NMH 108
MEC20054.2,NMH 106
MEC20055.1,NMH 107
MEC20055.2,NMH 107
MEC20055.3,NMH 107
MEC20055.4,NMH 106
MEC20057.1,NMH 102B
MEC20057.2,NMH 102B
MEC20057.3,NMH 102B
MEC20058.1,NMH 106
MEC20058.2,NMH 103A
MEC20059.1,NMH 109
MEC20059.2,NMH 106
MEC20059.3,NMH 106
MEC30002.1,NMH 105
MEC30003.1,NMH 106
MEC30005.1,NMH 106
MEC30006.1,NMH 309
MEC30010.1,NMH 103A
MEC30012.1,NMH 103A
MEC30052.1,NMH 109
MEC30053.1,NMH 307
MEC30057.1,NMH 307
MEC30058.1,NMH 107
MEC30066.1,NMH 107
MEC30068.1,NMH 307
MEC30068.2,NMH 109
MEC30072.1,NMH 107
MEC30074.1,NMH 103A
MEC30074.2,NMH 103A
MEC30075.1,NMH 104A
MEC40006.1,NMH 107
MEC40010.1,NMH 310
MEC40055.1,NMH 106
UIL20013.1,ANH 304
UIL30011.1,ANH 302
UIL30014.1,ANH 305
UIL30015.1,ANH 304
UIL30016.1,ANH 304
UIL30017.1,ANH 305
UIL30018.1,ANH 304
UIL30051.1,ANH 305
UIL40015.1,ANH 302
UIL40016.1,ANH 304
UIL40064.1,ANH 302
UIL40075.1,ANH 305