과목코드,분반,수강정원
BFT20001,1,150
BFT20002,1,150
BFT30001,1,80
BFT30004,1,30
BFT30004,2,30
BFT30004,3,30
BFT30010,1,30
BFT30010,2,30
BFT30013,1,30
BFT30013,2,30
BFT30016,1,50
BFT30020,1,50
BFT30027,1,50
BFT30055,1,50
BFT30057,1,30
BFT30061,1,30
BFT40001,1,50
BFT40002,1,30
BFT40005,1,30
BFT40005,2,30
BFT40012,1,50
BFT40013,1,50
BFT40051,1,30
BFT40052,1,50
BFT40055,1,30
CCC20020,1,50
CCC20050,1,30
CCC20053,1,50
CCC20056,1,30
CCC20064,1,50
CCC20065,1,50
CCC20074,1,30
CCC20076,1,30
CCC20086,1,30
CCC20092,1,30
CCC30035,1,30
CCC30053,1,30
CCC30057,1,30
CCC30081,1,50
CCC30083,1,30
CCC30094,1,30
CCC40044,1,30
CCC40046,1,30
CCC40050,1,30
CCC40073,1,30
CCC40081,1,30
CCC40084,1,30
CCC40094,1,30
CCE20001,1,30
CCE20002,1,50
CCE20003,1,50
CCE20005,1,50
CCE20007,1,50
CCE22001,1,50
CCE24001,1,30
CCE30001,1,30
CCE30003,1,50
CCE30006,1,50
CCE32001,1,50
CCE42001,1,30
CSW20001,1,50
CSW20001,2,50
CSW20005,1,50
CSW20005,2,80
CSW20012,1,60
CSW20012,2,60
CSW20012,3,50
CSW20015,1,60
CSW20020,1,50
CSW20021,1,60
CSW20054,1,150
CSW20064,1,50
CSW20065,1,50
CSW20079,1,80
CSW20085,1,50
CSW30006,1,50
CSW30008,1,50
CSW30009,1,50
CSW30009,2,50
CSW30009,3,50
CSW30012,1,60
CSW30017,1,60
CSW30019,1,50
CSW30021,1,50
CSW30025,1,60
CSW30026,1,60
CSW30026,2,60
CSW30035,1,50
CSW30056,1,60
CSW30063,1,50
CSW30081,1,50
CSW40010,1,50
CSW40010,2,50
CSW40015,1,60
CSW40052,1,50
CSW40054,1,30
CSW40054,2,30
CSW40054,3,30
CSW40054,4,30
CSW40084,1,60
CUE20002,1,60
CUE20003,1,30
CUE20003,2,30
CUE20003,3,30
CUE20005,1,50
CUE20013,1,50
CUE20014,1,30
CUE20051,1,30
CUE20052,1,60
CUE30001,1,30
CUE30001,2,30
CUE30003,1,50
CUE30005,1,30
CUE30012,1,30
CUE30030,1,30
CUE30031,1,30
CUE30051,1,50
CUE30062,1,30
CUE40003,1,30
CUE40009,1,30
CUE40012,1,30
CUE40052,1,50
CUE40053,1,50
ECE20010,1,50
ECE20010,2,60
ECE20016,1,50
ECE20016,2,50
ECE20051,1,50
ECE20051,2,50
ECE20051,3,60
ECE20057,1,100
ECE20060,1,50
ECE20060,2,50
ECE30011,1,50
ECE30012,1,30
ECE30021,1,50
ECE30021,2,50
ECE30030,1,50
ECE30051,1,50
ECE30056,1,50
ECE30063,1,50
ECE30075,1,30
ECE30075,2,30
ECE30081,1,50
ECE30092,1,30
ECE40012,1,30
ECE40047,1,30
ECE40061,1,50
ECE40084,1,50
ECE40093,1,30
ECE40093,2,30
ECE40093,3,30
ENG20022,1,30
GCS10001,1,50
GCS10001,2,50
GCS10001,3,50
GCS10001,4,50
GCS10001,5,50
GCS10001,6,50
GCS10001,7,50
GCS10002,1,50
GCS10002,2,50
GCS10002,3,50
GCS10002,4,50
GCS10002,5,50
GCS10002,6,50
GCS10002,7,50
GCS10003,1,50
GCS10004,1,50
GCS10007,1,50
GCS10007,2,50
GCS10007,3,50
GCS10007,4,50
GCS10008,1,30
GCS10010,1,30
GCS10011,1,30
GCS10012,1,30
GCS10014,1,50
GCS10016,1,30
GCS10016,2,30
GCS10019,1,30
GCS10019,2,30
GCS10023,1,30
GCS10027,1,30
GCS10027,2,30
GCS10028,1,30
GCS10033,1,30
GCS10033,2,30
GCS10033,3,30
GCS10033,4,30
GCS10034,1,30
GCS10037,1,30
GCS10037,2,30
GCS10037,3,30
GCS10037,4,30
GCS10037,5,30
GCS10037,6,30
GCS10037,7,30
GCS10037,8,30
GCS10037,9,30
GCS10037,10,30
GCS10037,11,30
GCS10037,12,30
GCS10039,1,30
GCS10039,2,30
GCS10041,1,30
GCS10041,2,30
GCS10050,1,30
GCS10050,2,30
GCS10050,4,30
GCS10050,6,30
GCS10052,1,30
GCS10052,2,30
GCS10052,3,30
GCS10052,4,30
GCS10052,5,30
GCS10052,6,30
GCS10052,7,30
GCS10052,8,30
GCS10052,9,30
GCS10052,10,30
GCS10052,11,30
GCS10052,12,30
GCS10053,1,30
GCS10053,2,30
GCS10053,3,30
GCS10053,4,30
GCS10053,5,30
GCS10053,6,30
GCS10053,7,30
GCS10053,8,30
GCS10053,9,30
GCS10053,10,30
GCS10054,1,30
GCS10055,1,30
GCS10056,1,30
GCS10057,1,30
GCS10058,1,50
GCS10058,2,50
GCS10061,1,60
GCS10061,2,60
GCS10061,3,60
GCS10062,1,30
GCS10062,2,30
GCS10062,3,30
GCS10062,4,30
GCS10062,5,30
GCS10062,6,30
GCS10062,7,30
GCS10062,8,30
GCS10062,9,30
GCS10062,10,30
GCS10062,11,30
GCS20001,1,30
GCS20001,2,30
GCS20001,4,30
GCS20001,5,30
GCS20001,6,30
GCS20001,7,30
GCS20001,8,30
GCS20001,10,30
GCS20001,11,30
GCS20001,12,30
GCS20001,13,30
GCS20001,14,30
GCS20001,15,30
GCS20001,16,30
GCS20001,17,30
GCS20002,1,30
GCS20002,2,30
GCS20002,3,30
GCS20002,4,30
GCS20002,5,30
GCS20002,6,30
GCS20002,7,30
GCS20002,8,30
GCS20002,9,30
GCS20002,10,30
GCS20002,11,30
GCS20002,12,30
GCS20002,13,30
GCS20002,14,30
GCS20002,15,30
GCS20002,16,30
GCS20005,1,50
GCS20005,2,50
GCS20005,3,50
GCS20006,1,50
GCS20006,2,50
GCS20008,1,30
GCS20008,2,30
GCS20009,1,30
GCS30008,1,30
GCS30008,2,30
GCS30009,1,30
GCS40001,1,30
GEA20002,1,50
GEA20004,1,50
GEA20008,1,60
GEA20016,1,50
GEA20018,1,50
GEA20022,1,50
GEA20051,1,50
GEA20053,1,50
GEA20055,1,50
GEA20056,1,50
GEA20057,1,50
GEA30011,1,60
GEA30012,1,60
GEA30020,1,30
GEA30021,1,50
GEA40004,1,30
GEE20034,1,50
GEE30023,1,30
GEK10011,1,400
GEK10011,2,190
GEK10011,3,60
GEK10015,1,400
GEK10015,2,30
GEK10021,2,30
GEK10021,3,30
GEK10021,4,30
GEK10021,6,30
GEK10021,7,30
GEK10022,1,50
GEK10022,2,50
GEK10030,1,150
GEK10035,1,60
GEK10035,2,50
GEK10038,1,30
GEK10038,2,30
GEK10038,3,30
GEK10040,1,60
GEK10040,2,60
GEK10041,1,150
GEK10041,2,60
GEK10041,3,60
GEK10041,4,50
GEK10042,1,100
GEK10053,1,50
GEK10053,2,60
GEK10055,1,60
GEK10055,2,60
GEK10055,3,60
GEK10057,1,60
GEK10057,3,60
GEK10058,1,50
GEK10058,2,60
GEK10059,1,60
GEK10059,2,60
GEK10059,3,50
GEK10060,1,60
GEK10061,1,50
GEK10061,2,50
GEK10062,1,80
GEK10062,2,80
GEK10066,1,80
GEK10070,1,60
GEK10075,1,50
GEK10076,1,80
GEK10076,2,80
GEK10077,1,30
GEK10087,1,60
GEK10088,1,60
GEK10088,2,60
GEK10089,1,50
GEK10089,2,50
GEK10090,1,60
GEK10090,2,60
GEK10091,1,50
GEK10093,1,50
GEK10094,1,30
GEK10095,1,80
GEK10095,2,80
GEK10095,3,80
GEK10095,4,60
GEK10096,1,80
GEK10096,2,80
GEK10096,3,60
GEK10096,4,80
GEK10098,1,50
GEK10098,2,50
GEK10099,1,60
GEK20011,1,50
GEK20011,3,60
GEK20016,1,80
GEK20017,1,60
GEK20019,1,30
GEK20021,2,30
GEK20021,3,30
GEK20028,1,60
GEK20028,2,60
GEK20028,3,50
GEK20028,4,50
GEK20033,1,60
GEK20042,1,50
GEK20042,2,50
GEK20044,1,50
GEK20048,1,50
GEK20048,2,50
GEK20048,3,50
GEK20048,4,50
GEK20051,1,50
GEK20051,2,50
GEK20053,1,50
GEK20053,2,50
GEK20058,1,60
GEK20058,2,60
GEK20058,3,60
GEK20058,4,60
GEK20058,5,60
GEK20058,6,60
GEK20058,7,60
GEK20058,8,60
GEK20058,9,60
GEK20058,10,60
GEK20059,1,60
GEK20062,1,80
GEK20062,2,80
GEK20062,3,80
GEK20063,1,60
GEK20063,2,60
GEK20063,3,60
GEK20063,4,60
GEK30007,1,50
GEK30014,1,60
GEK30014,2,50
GEK30015,1,50
GEK30015,2,150
GEK30022,1,60
GEK30030,1,80
GEK40091,1,80
GEK40091,2,60
HMM10041,1,60
HMM10041,2,60
HMM20017,1,50
HMM20026,1,60
HMM20028,1,30
HMM20028,2,30
HMM20028,3,30
HMM20031,1,60
HMM20031,2,50
HMM20041,1,60
HMM20075,1,50
HMM30006,1,50
HMM30011,1,30
HMM30012,1,60
HMM30012,2,60
HMM30018,1,30
HMM30032,1,60
HMM30055,1,30
HMM30055,2,30
HMM40029,1,30
HMM40037,1,50
HMM40039,1,30
HMM40043,1,60
HMM40047,1,50
HMM40053,1,30
IID10004,1,30
IID10004,2,30
IID10004,3,30
IID20006,1,30
IID20006,2,30
IID20006,3,30
IID20013,1,30
IID20013,2,30
IID20013,3,30
IID20014,1,30
IID20014,2,30
IID20016,1,30
IID20016,2,30
IID20016,3,30
IID20055,1,30
IID20055,2,30
IID20055,3,30
IID20059,1,30
IID20059,2,30
IID20059,3,30
IID20061,1,30
IID20061,2,30
IID20061,3,30
IID30011,1,30
IID30011,2,30
IID30018,1,50
IID30020,1,30
IID30067,1,30
IID30068,1,30
IID30068,2,30
IID30071,2,30
IID30076,1,30
IID30078,1,30
IID30080,1,30
IID30082,1,30
IID30086,1,30
IID30086,2,30
IID30086,3,30
IID40066,1,30
IID40066,2,30
IID40067,1,30
IID40067,2,30
IID40067,3,30
IID40070,1,30
IID40070,2,30
IID40071,1,30
IID40071,2,30
IID40078,1,30
IID40078,2,30
ISE10002,1,60
ISE10022,1,50
ISE10051,1,80
ISE10051,2,80
ISE10052,1,80
ISE20006,1,50
ISE20040,1,30
ISE20042,1,50
ISE20043,1,50
ISE20072,1,50
ISE20074,1,50
ISE20075,1,60
ISE20081,1,50
ISE20084,1,50
ISE20085,1,80
ISE20086,1,50
ISE30015,1,50
ISE30032,1,30
ISE30052,1,50
ISE30071,1,50
ISE30080,1,50
ISE30081,1,50
ISE30093,1,50
ISE30095,1,50
ISE30096,1,30
ISE30097,1,50
ISE40013,1,30
ISE40073,1,50
ISE40073,2,50
ISE40075,1,50
ISE40082,1,50
ISE40085,4,30
ITP20001,1,50
ITP20001,2,50
ITP20003,1,50
ITP20003,2,50
ITP20007,1,50
ITP20007,2,50
ITP30002,1,50
ITP30005,1,50
ITP30008,1,50
ITP40001,1,50
ITP40003,1,30
LAW10004,1,80
LAW20003,1,80
LAW20008,1,80
LAW20009,1,80
LAW30009,1,50
LAW30014,1,50
LAW30034,1,50
LAW30071,1,50
LAW30072,1,50
LAW30074,1,50
LAW30077,1,50
LAW40004,1,60
LAW40025,1,50
LAW50004,1,30
LAW50005,1,30
MEC10001,1,150
MEC10001,2,80
MEC10001,3,80
MEC10002,1,50
MEC10002,2,80
MEC10002,3,100
MEC10002,4,50
MEC20001,1,50
MEC20001,2,50
MEC20002,1,50
MEC20002,2,50
MEC20005,1,50
MEC20005,2,60
MEC20006,1,60
MEC20051,1,50
MEC20051,2,50
MEC20054,1,50
MEC20054,2,50
MEC20055,1,60
MEC20055,2,50
MEC20055,3,50
MEC20055,4,50
MEC20057,1,30
MEC20057,2,30
MEC20057,3,30
MEC20058,1,60
MEC20058,2,50
MEC20059,1,50
MEC20059,2,50
MEC20059,3,50
MEC30002,1,60
MEC30003,1,50
MEC30005,1,50
MEC30006,1,50
MEC30010,1,50
MEC30012,1,50
MEC30052,1,50
MEC30053,1,50
MEC30057,1,50
MEC30058,1,50
MEC30066,1,50
MEC30068,1,50
MEC30068,2,50
MEC30072,1,50
MEC30074,1,50
MEC30074,2,50
MEC30075,1,50
MEC40006,1,50
MEC40010,1,50
MEC40055,1,50
SIE40061,1,30
UIL20013,1,30
UIL30011,1,60
UIL30014,1,50
UIL30015,1,30
UIL30016,1,50
UIL30017,1,30
UIL30018,1,30
UIL30051,1,60
UIL40015,1,50
UIL40016,1,50
UIL40064,1,50
UIL40075,1,50